ID	Bike_Name	bike_model_year	Bike_Currency	Bike_Price	bike_power_cc	bike_power_watt	bike_type	bike_distance	condition
302	 Honda Dio	2017	Rs. 	110000.0	110		Scooter	0 km	Used
303	 Honda Dio	2017	Rs. 	110000.0	110		Scooter	28,000 km	Used
304	 TVS Apache RTR 200 4V	2017	Rs. 	110000.0	198		Sports	38,640 km	Used
305	 Yamaha FZ V2	2016	Rs. 	110000.0	149		Sports Naked	35,000 km	Used
306	 Mitsuzu Model lp E	2023	Rs. 	110000.0		1,500 	Scooter	5,000 km	Used
307	 Honda CB Unicorn 160	2016	Rs. 	110000.0	163		Commuter	23,400 km	Used
308	 Honda CB Shine	2017	Rs. 	110000.0	124		Commuter	56,000 km	Used
309	 Yamaha Ray ZR	2018	Rs. 	110000.0	113		Scooter	25,000 km	Like new
310	 Bajaj Pulsar 150TD	2019	Rs. 	111111.0	150		Commuter	23,000 km	Like new
311	 Vespa VXL	2017	Rs. 	112000.0	150		Scooter	35,140 km	Used
